break_start,break_end,slope,intercept
2020-03-10,2020-03-17,-0.19491,3575.8
2020-03-17,2020-05-19,-0.011879,219.39
2020-05-19,2020-06-19,0.0044849,-81.73
2020-06-19,2020-07-24,-0.0030061,56.343
2020-07-24,2020-09-02,0.012881,-237.04
2020-09-02,2020-10-19,-0.0051472,96.604
2020-10-19,2020-11-06,-0.0010528,20.637
2020-11-06,2020-12-14,7.4298e-4,-12.714
2020-12-14,2021-01-22,-0.0062262,116.98
