break_start,break_end,slope,intercept
2020-03-12,2020-03-26,-0.056752,1042.6
2020-03-26,2020-06-22,-0.0069191,128.35
2020-06-22,2020-07-29,0.001054,-18.635
2020-07-29,2020-08-09,0.036236,-668.52
2020-08-09,2020-10-11,-0.0011732,22.903
2020-10-11,2020-11-07,5.8552e-4,-9.7134
2020-11-07,2020-12-14,-0.0041667,78.549
2020-12-14,2021-01-22,-0.0019167,36.678
