break_start,break_end,slope,intercept
2020-03-04,2020-03-23,-0.07953,1460.5
2020-03-23,2020-04-28,-0.021517,396.27
2020-04-28,2020-05-14,0.018085,-331.61
2020-05-14,2020-06-08,-0.0099388,183.91
2020-06-08,2020-07-13,0.0033062,-60.08
2020-07-13,2020-09-28,0.0035413,-64.419
2020-09-28,2020-12-14,-0.0025221,47.955
2020-12-14,2020-12-26,0.013983,-259.2
2020-12-26,2021-01-22,-0.015189,284.03
