break_start,break_end,slope,intercept
2020-03-04,2020-03-17,-0.13375,2454.3
2020-03-17,2020-03-23,0.018126,-330.77
2020-03-23,2020-04-23,-0.030836,567.4
2020-04-23,2020-05-14,0.012625,-231.2
2020-05-14,2020-06-08,-0.0090292,167.15
2020-06-08,2020-07-13,0.0031694,-57.555
2020-07-13,2020-09-28,0.0035531,-64.637
2020-09-28,2020-12-14,-0.0025258,48.024
2020-12-14,2020-12-26,0.013991,-259.36
2020-12-26,2021-01-22,-0.01519,284.05
