break_start,break_end,slope,intercept
2020-03-12,2020-03-17,-0.021603,397.79
2020-03-17,2020-06-22,-0.0096596,178.78
2020-06-22,2020-08-29,0.00778,-142.72
2020-08-29,2020-10-11,-0.0021223,40.495
2020-10-11,2020-11-09,5.8811e-4,-9.7712
2020-11-09,2020-12-14,-0.0040927,77.175
2020-12-14,2021-01-22,-0.0020112,38.438
