break_start,break_end,slope,intercept
2020-03-10,2020-03-17,-0.26661,4890.6
2020-03-17,2020-05-19,-0.012378,228.53
2020-05-19,2020-09-23,0.0039273,-71.502
2020-09-23,2020-10-19,-0.0062704,117.44
2020-10-19,2020-11-16,-0.0011475,22.394
2020-11-16,2020-12-14,0.0018596,-33.483
2020-12-14,2021-01-22,-0.0066456,124.8
