break_start,break_end,slope,intercept
2020-03-04,2020-03-17,-0.11559,2121.2
2020-03-17,2020-03-23,-0.025921,476.87
2020-03-23,2020-06-24,-0.007198,133.41
2020-06-24,2020-09-11,0.0077292,-141.8
2020-09-11,2020-11-14,-0.0051976,97.558
2020-11-14,2020-11-20,0.010316,-190.68
2020-11-20,2020-12-14,0.0028822,-52.521
2020-12-14,2021-01-22,-0.0053916,101.45
