place,mobility,coefficient,p_val,period,wave,Significant (p<0.01)
york,Parks,0.20782903306313635,0.11421921129277662,Lockdown,Wave 2,No
york,Transit,-0.20265418228967405,0.12372332675146859,Lockdown,Wave 2,No
york,Workplaces,-0.2793222313366764,0.03215706297358504,Lockdown,Wave 2,No
york,Residential,0.1029141852281172,0.4379568093711639,Lockdown,Wave 2,No
york,Global,0.11981948989103382,0.3660370763568167,Lockdown,Wave 2,No
durham,Retail,0.5088625530242936,9.992749105027726e-5,7 Days after lockdown,Wave 2,Yes
durham,Grocery,0.38984077178210474,0.003907582010177191,7 Days after lockdown,Wave 2,Yes
durham,Parks,0.08752588721962583,0.5331519604517347,7 Days after lockdown,Wave 2,No
durham,Transit,0.542525906517529,2.7102861038248875e-5,7 Days after lockdown,Wave 2,Yes
durham,Workplaces,-0.05116268531408391,0.7159873747045387,7 Days after lockdown,Wave 2,No
durham,Residential,-0.18400380191642726,0.18719606232714192,7 Days after lockdown,Wave 2,No
durham,Global,0.37953439743685363,0.005064910726891503,7 Days after lockdown,Wave 2,Yes
peel,Retail,0.27652005163482146,0.018706261839413693,7 Days after lockdown,Wave 2,No
peel,Grocery,0.2743075866397957,0.019713292976798767,7 Days after lockdown,Wave 2,No
peel,Parks,0.17514899245202767,0.1411343760882451,7 Days after lockdown,Wave 2,No
peel,Transit,0.21727933170353247,0.06674619263911286,7 Days after lockdown,Wave 2,No
peel,Workplaces,-0.25135484206661873,0.03318720198524839,7 Days after lockdown,Wave 2,No
peel,Residential,0.13164435490875173,0.27033340235425896,7 Days after lockdown,Wave 2,No
peel,Global,0.17674725669801128,0.13748479847413964,7 Days after lockdown,Wave 2,No
toronto,Retail,0.16175022335346845,0.17464362309723114,7 Days after lockdown,Wave 2,No
toronto,Grocery,0.1193026111343656,0.3181970343624354,7 Days after lockdown,Wave 2,No
toronto,Parks,0.14779789735271517,0.21535455779124887,7 Days after lockdown,Wave 2,No
toronto,Transit,-0.011928498921370602,0.9207819856307977,7 Days after lockdown,Wave 2,No
toronto,Workplaces,-0.20032937572694706,0.09155493248557338,7 Days after lockdown,Wave 2,No
toronto,Residential,0.06556139951552586,0.5842688347414113,7 Days after lockdown,Wave 2,No
toronto,Global,0.06198222389239367,0.604995814336247,7 Days after lockdown,Wave 2,No
halton,Retail,0.5774500355595651,5.986343075517345e-6,7 Days after lockdown,Wave 2,Yes
halton,Grocery,0.42658102581183627,0.0014465368507648375,7 Days after lockdown,Wave 2,Yes
halton,Parks,0.11623461032743637,0.4071963160062605,7 Days after lockdown,Wave 2,No
halton,Transit,0.5968033295142239,2.3989930831802743e-6,7 Days after lockdown,Wave 2,Yes
halton,Workplaces,0.06318096053372976,0.6531100428086999,7 Days after lockdown,Wave 2,No
halton,Residential,-0.2128236990814871,0.12601121046779062,7 Days after lockdown,Wave 2,No
halton,Global,0.4422358818169696,9.147891079239979e-4,7 Days after lockdown,Wave 2,Yes
york,Retail,0.43636481266372523,5.503102826840599e-4,7 Days after lockdown,Wave 2,Yes
york,Grocery,0.37839370586762555,0.0031262980820582105,7 Days after lockdown,Wave 2,Yes
york,Parks,0.09750427380452002,0.46253850464588964,7 Days after lockdown,Wave 2,No
york,Transit,0.24942402423653987,0.05676704062051891,7 Days after lockdown,Wave 2,No
york,Workplaces,-0.03707509591400074,0.780412214674047,7 Days after lockdown,Wave 2,No
york,Residential,-0.12238362221174594,0.35579324977071747,7 Days after lockdown,Wave 2,No
york,Global,0.28527364302417724,0.02851882133031165,7 Days after lockdown,Wave 2,No
durham,Retail,0.6629349349434072,6.363086426771967e-8,14 Days after lockdown,Wave 2,Yes
durham,Grocery,0.46726306508198506,4.196205997108383e-4,14 Days after lockdown,Wave 2,Yes
durham,Parks,0.040971833995971346,0.7708301252772094,14 Days after lockdown,Wave 2,No
durham,Transit,0.6708157463828238,3.8840351772874146e-8,14 Days after lockdown,Wave 2,Yes
durham,Workplaces,0.3937161054390529,0.003536896382230517,14 Days after lockdown,Wave 2,Yes
durham,Residential,-0.4666041046755438,4.2865002510932796e-4,14 Days after lockdown,Wave 2,Yes
durham,Global,0.5724675144802126,7.50490143815732e-6,14 Days after lockdown,Wave 2,Yes
peel,Retail,0.31757823980830036,0.006561131390674217,14 Days after lockdown,Wave 2,Yes
peel,Grocery,0.21149122382957147,0.07452327141807524,14 Days after lockdown,Wave 2,No
peel,Parks,-0.16001123361776087,0.17938628404411316,14 Days after lockdown,Wave 2,No
peel,Transit,0.29162101669856777,0.012938418797830866,14 Days after lockdown,Wave 2,No
peel,Workplaces,-0.012575808116818044,0.9164981521756866,14 Days after lockdown,Wave 2,No
peel,Residential,-0.06091743451299209,0.6112236556518603,14 Days after lockdown,Wave 2,No
peel,Global,0.11823702259470241,0.3225697487479756,14 Days after lockdown,Wave 2,No
toronto,Retail,0.44899344891431714,7.622441634862953e-5,14 Days after lockdown,Wave 2,Yes
toronto,Grocery,0.33279395078241814,0.004285699113423044,14 Days after lockdown,Wave 2,Yes
toronto,Parks,-0.08836678059350334,0.46042945852264794,14 Days after lockdown,Wave 2,No
toronto,Transit,0.34644902336206806,0.00287136406524794,14 Days after lockdown,Wave 2,Yes
toronto,Workplaces,0.0212972458828261,0.85906030583875,14 Days after lockdown,Wave 2,No
toronto,Residential,-0.11062798083414031,0.35490110920284557,14 Days after lockdown,Wave 2,No
toronto,Global,0.20698762378001606,0.08106208710484585,14 Days after lockdown,Wave 2,No
halton,Retail,0.4944080244800845,1.680032931512325e-4,14 Days after lockdown,Wave 2,Yes
halton,Grocery,0.2649026356863437,0.05524626352333497,14 Days after lockdown,Wave 2,No
halton,Parks,-0.11753708031433546,0.4019241195309614,14 Days after lockdown,Wave 2,No
halton,Transit,0.5280767712797886,4.826234203631172e-5,14 Days after lockdown,Wave 2,Yes
halton,Workplaces,0.2892146004445436,0.035691451699191794,14 Days after lockdown,Wave 2,No
halton,Residential,-0.2758744541231333,0.045555057780753,14 Days after lockdown,Wave 2,No
halton,Global,0.3275179889663105,0.016668025546893877,14 Days after lockdown,Wave 2,No
york,Retail,0.5412644099431176,9.58154331305605e-6,14 Days after lockdown,Wave 2,Yes
york,Grocery,0.32762359025508403,0.01130864750457297,14 Days after lockdown,Wave 2,No
york,Parks,-0.18561685370899575,0.1592763593958202,14 Days after lockdown,Wave 2,No
york,Transit,0.53590426610721,1.2189832889581598e-5,14 Days after lockdown,Wave 2,Yes
york,Workplaces,0.2793804679276755,0.032119670215640495,14 Days after lockdown,Wave 2,No
york,Residential,-0.2825018252992832,0.030167903280752282,14 Days after lockdown,Wave 2,No
york,Global,0.25984910935979016,0.04686494143067074,14 Days after lockdown,Wave 2,No
