Date,Durham,Halton,Peel,Toronto,York
2020-09-03,4,0,45,31,5
2020-09-04,2,3,72,41,2
2020-09-05,6,3,46,42,19
2020-09-06,4,5,44,49,16
2020-09-07,2,5,57,60,17
2020-09-08,5,4,42,48,19
2020-09-09,4,7,41,50,13
2020-09-10,13,4,22,55,28
2020-09-11,9,6,38,71,14
2020-09-12,10,3,62,77,12
2020-09-13,5,8,35,63,11
2020-09-14,9,7,71,112,13
2020-09-15,7,6,42,73,22
2020-09-16,24,8,54,77,37
2020-09-17,2,12,63,85,37
2020-09-18,8,19,82,130,40
2020-09-19,6,18,94,129,28
2020-09-20,19,24,108,113,38
2020-09-21,14,12,84,175,20
2020-09-22,16,12,95,153,27
2020-09-23,0,15,79,102,30
2020-09-24,12,11,46,151,34
2020-09-25,12,12,66,204,33
2020-09-26,5,12,110,131,43
2020-09-27,19,10,131,137,58
2020-09-28,7,15,104,344,56
2020-09-29,14,8,79,251,43
2020-09-30,25,33,97,288,41
2020-10-01,14,3,101,229,43
2020-10-02,34,11,111,323,38
2020-10-03,7,12,104,284,50
2020-10-04,13,25,123,196,42
2020-10-05,10,26,88,289,47
2020-10-06,12,30,90,201,56
2020-10-07,12,15,70,173,75
2020-10-08,22,33,134,265,78
2020-10-09,32,59,150,336,68
2020-10-10,25,32,123,358,76
2020-10-11,29,49,157,140,87
2020-10-12,8,20,159,303,56
2020-10-13,17,29,135,311,42
2020-10-14,22,21,170,270,79
2020-10-15,40,28,136,239,127
2020-10-16,27,46,135,213,62
2020-10-17,30,25,107,374,93
2020-10-18,45,29,155,197,94
2020-10-19,16,23,168,244,103
2020-10-20,32,46,136,327,64
2020-10-21,43,24,157,321,76
2020-10-22,29,29,162,335,106
2020-10-23,38,34,186,292,72
2020-10-24,51,21,170,348,141
2020-10-25,52,31,289,309,117
2020-10-26,23,27,215,281,90
2020-10-27,44,10,169,355,89
2020-10-28,26,24,186,299,121
2020-10-29,19,35,169,420,95
2020-10-30,32,37,173,314,115
2020-10-31,23,31,282,325,88
2020-11-01,31,16,238,279,113
2020-11-02,32,19,269,315,81
2020-11-03,57,86,212,408,76
2020-11-04,62,47,299,319,85
2020-11-05,33,47,269,350,71
2020-11-06,24,41,280,300,125
2020-11-07,30,64,258,336,114
2020-11-08,56,43,385,434,105
2020-11-09,14,37,279,483,107
2020-11-10,36,72,395,520,100
2020-11-11,63,30,468,384,180
2020-11-12,61,54,448,472,155
2020-11-13,41,55,440,440,155
2020-11-14,64,54,497,456,130
2020-11-15,62,54,308,364,125
2020-11-16,45,46,392,508,170
2020-11-17,69,58,256,569,94
2020-11-18,40,63,463,410,178
2020-11-19,57,35,361,346,143
2020-11-20,46,36,400,393,168
2020-11-21,56,53,522,450,153
2020-11-22,50,48,490,460,130
2020-11-23,41,53,535,336,205
2020-11-24,16,5,175,497,118
2020-11-25,26,30,415,445,136
2020-11-26,47,36,572,356,111
2020-11-27,65,130,517,494,189
2020-11-28,48,68,516,566,145
2020-11-29,73,31,503,463,185
2020-11-30,108,35,390,622,217
2020-12-01,72,47,373,727,168
2020-12-02,124,45,500,410,196
2020-12-03,57,68,592,396,187
2020-12-04,94,51,433,633,152
2020-12-05,41,68,463,504,198
2020-12-06,104,51,477,568,249
2020-12-07,133,54,512,601,167
2020-12-08,76,66,349,588,141
2020-12-09,75,96,471,517,187
2020-12-10,55,51,515,496,208
2020-12-11,91,57,386,469,205
2020-12-12,80,47,436,522,185
2020-12-13,86,62,356,456,143
2020-12-14,68,64,390,544,191
2020-12-15,92,65,586,711,154
2020-12-16,143,55,528,780,148
2020-12-17,73,104,434,737,209
2020-12-18,89,57,361,691,296
2020-12-19,104,72,448,665,174
2020-12-20,82,97,468,486,326
2020-12-21,91,92,480,611,192
2020-12-22,86,48,504,636,218
2020-12-23,136,88,448,629,190
2020-12-24,92,55,502,646,263
2020-12-25,93,96,385,616,213
2020-12-26,67,93,344,541,262
2020-12-27,71,80,331,572,207
2020-12-28,59,67,475,412,158
2020-12-29,108,78,496,895,142
2020-12-30,158,114,441,998,408
2020-12-31,114,79,431,888,418
2021-01-01,149,78,480,499,300
2021-01-02,115,152,713,700,395
2021-01-03,197,100,346,786,308
2021-01-04,122,70,581,917,389
2021-01-05,172,128,614,778,213
2021-01-06,145,100,523,805,349
2021-01-07,174,95,568,891,457
2021-01-08,170,134,691,1382,427
2021-01-09,166,78,548,1070,303
2021-01-10,190,118,641,1160,357
2021-01-11,143,81,531,931,241
2021-01-12,75,47,545,837,249
2021-01-13,119,88,536,738,219
2021-01-14,93,85,572,968,357
2021-01-15,113,81,618,800,250
2021-01-16,162,61,639,903,283
2021-01-17,97,59,585,1035,246
2021-01-18,76,79,507,815,151
2021-01-19,82,71,346,550,235
2021-01-20,70,51,473,925,226
2021-01-21,92,52,412,897,245
2021-01-22,80,102,542,779,228
2021-01-23,68,77,422,708,220
2021-01-24,79,78,404,785,215
2021-01-25,62,54,365,727,157
2021-01-26,51,49,320,677,144
2021-01-27,63,48,342,450,171
2021-01-28,85,64,331,700,228
2021-01-29,59,54,295,595,170
2021-01-30,89,55,379,713,178
2021-01-31,55,47,306,726,168
2021-02-01,90,55,330,886,128
2021-02-02,44,44,334,0,124
2021-02-03,42,24,199,444,110
2021-02-04,34,58,265,584,132
2021-02-05,46,100,317,667,125
2021-02-06,46,42,288,455,131
2021-02-07,50,61,261,517,121
2021-02-08,61,33,256,421,130
2021-02-09,25,42,250,343,128
2021-02-10,21,28,196,393,125
2021-02-11,33,31,258,112,116
2021-02-12,31,31,210,361,122
2021-02-13,47,38,253,433,116
2021-02-14,35,35,209,122,171
2021-02-15,66,30,201,251,93
2021-02-16,37,44,154,320,118
2021-02-17,30,12,170,257,131
2021-02-18,19,27,142,376,122
2021-02-19,41,37,264,376,108
2021-02-20,47,40,228,331,132
2021-02-21,51,20,156,344,122
2021-02-22,45,28,215,325,87
2021-02-23,35,27,186,343,89
2021-02-24,35,26,186,363,94
2021-02-25,28,40,204,339,106
2021-02-26,42,32,274,362,104
2021-02-27,36,32,220,331,119
2021-02-28,23,47,201,259,86
2021-03-01,34,39,182,280,47
2021-03-02,34,32,223,253,99
2021-03-03,41,20,164,249,92
2021-03-04,23,33,171,298,64
2021-03-05,55,47,167,337,129
2021-03-06,32,34,173,284,82
2021-03-07,58,39,192,329,116
